taxa	clade
A_chicken_Israel_313547_2018	G1-A
A_chicken_Israel_318798_2019	G1-A
A_chicken_Israel_313924_2018	G1-A
A_chicken_Israel_313988_2018	G1-A
A_chicken_Israel_314046_2018	G1-A
A_chicken_Israel_314642_2018	G1-A
A_chicken_Israel_314153_2018	G1-A
A_chicken_Israel_314616_2018	G1-A
A_chicken_Israel_302733_2018	G1-A
A_chicken_Israel_350355_2020	G1-A
A_chicken_Israel_349192_2020	G1-A
A_chicken_Israel_351613_2020	G1-A
A_chicken_Israel_349394_2020	G1-A
A_chicken_Israel_346035_2019	G1-A
A_chicken_Israel_360313_2020	G1-A
A_chicken_Israel_357885_2020	G1-A
A_chicken_Israel_359073_2020	G1-A
A_chicken_Israel_293601_2018	G1-A
A_chicken_Israel_301390_2018	G1-A
A_chicken_Israel_296839_2018	G1-A
A_chicken_Israel_294119_2018	G1-A
A_chicken_Israel_297423_2018	G1-A
A_chicken_Israel_297478_2018	G1-A
A_chicken_Israel_303070_2018	G1-A
A_chicken_Israel_301929_2018	G1-A
A_chicken_Israel_314058_2018	G1-A
A_chicken_Israel_320716_2019	G1-A
A_chicken_Israel_360706_2020	G1-A
A_chicken_Israel_319020_2019	G1-A
A_chicken_Israel_298241_2018	G1-A
A_chicken_Israel_299906_2018	G1-A
A_chicken_Israel_308072_2018	G1-A
A_chicken_Egypt_A15074_2018	G1-A
A_chicken_Egypt_S16695_2019	G1-A
A_chicken_Egypt_S16693_2019	G1-A
A_chicken_Egypt_S16688C_2019	G1-A
A_chicken_Egypt_A17358_2019	G1-A
A_chicken_Egypt_A17349_2019	G1-A
A_chicken_Egypt_S16965D_2019	G1-A
A_chicken_Egypt_V2842_2019	G1-A
A_chicken_Egypt_V1348_2019	G1-A
A_Chicken_Egypt_AR540_2018	G1-A
A_chicken_Egypt_V3303_2020	G1-A
A_chicken_Egypt_V3293_2020	G1-A
A_chicken_Egypt_H9-2_2019	G1-A
A_chicken_Egypt_H9-1_2018	G1-A
A_chicken_Egypt_A16859_2019	G1-A
A_Chicken_Egypt_AR554_2018	G1-A
A_Chicken_Egypt_AR541_2018	G1-A
A_Chicken_Egypt_AR593_2018	G1-A
A_chicken_Egypt_Q17812B_2019	G1-A
A_chicken_Egypt_V77_2020	G1-A
A_chicken_Egypt_V1051_2019	G1-A
A_chicken_Egypt_V1527_2018	G1-A
A_chicken_Israel_291906_2017	G1-A
A_Chicken_Egypt_AR545_2018	G1-A
A_chicken_Egypt_F17124B_2019	G1-A
A_chicken_Egypt_A17969_2019	G1-A
A_chicken_Egypt_F17123A_2019	G1-A
A_chicken_Egypt_N17048C_2019	G1-A
A_chicken_Egypt_V1623_2019	G1-A
A_chicken_Egypt_F16774A_2019	G1-A
A_chicken_Egypt_F16772D_2019	G1-A
A_chicken_Egypt_F16774B_2019	G1-A
A_chicken_Egypt_V3986_2018	G1-A
A_chicken_Egypt_A16777_2019	G1-A
A_chicken_Egypt_V2630_2019	G1-A
A_chicken_Egypt_V654_2020	G1-A
A_chicken_Egypt_N16735D_2019	G1-A
A_chicken_Egypt_A17416_2019	G1-A
A_chicken_Egypt_A17561_2019	G1-A
A_chicken_Egypt_FAO-S18_2019	G1-A
A_chicken_Israel_348354_2020	G1-A
A_chicken_Egypt_V2633_2019	G1-A
A_chicken_Egypt_V72_2020	G1-A
A_chicken_Egypt_V665_2019	G1-A
A_chicken_Egypt_N16941C_2019	G1-A
A_chicken_Egypt_A16886_2019	G1-A
A_chicken_Egypt_N17040B_2019	G1-A
A_Chicken_Egypt_AR555_2018	G1-A
A_Chicken_Egypt_AR589_2018	G1-A
A_chicken_Egypt_Elfeil-26_2016	G1-A
A_chicken_Egypt_V1659_2018	G1-A
A_chicken_Egypt_V1596_2017	G1-A
A_chicken_Egypt_D13646A_2017	G1-A
A_Chicken_Egypt_AR536_2017	G1-A
A_chicken_Egypt_AB2_2018	G1-A
A_chicken_Egypt_AB3_2018	G1-A
A_chicken_Egypt_AB4_2018	G1-A
A_chicken_Egypt_s2_2018	G1-A
A_Chicken_Egypt_AR538_2017	G1-A
A_chicken_Egypt_171595V_2017	G1-A
A_chicken_Egypt_V1581_2017	G1-A
A_chicken_Egypt_V3506_2020	G1-A
A_chicken_Egypt_V1220_2020	G1-A
A_chicken_Egypt_V1015_2020	G1-A
A_chicken_Egypt_v2252_2020	G1-A
A_chicken_Egypt_V739_2020	G1-A
A_chicken_Egypt_FAO-S16_2020	G1-A
A_chicken_Egypt_S63_2020	G1-A
A_chicken_Egypt_V2692_2019	G1-A
A_chicken_Egypt_V3604_2018	G1-A
A_chicken_Egypt_V644_2020	G1-A
A_chicken_Egypt_V1960_2019	G1-A
A_chicken_Egypt_N17056_2019	G1-A
A_chicken_Egypt_V1317_2018	G1-A
A_chicken_Egypt_S18034E_2019	G1-A
A_chicken_Egypt_Q18036B_2019	G1-A
A_chicken_Egypt_Q18036E_2019	G1-A
A_chicken_Egypt_Q18041A_2019	G1-A
A_chicken_Egypt_D17949C_2019	G1-A
A_chicken_Egypt_D17949B_2019	G1-A
A_chicken_Egypt_Q17897C_2019	G1-A
A_chicken_Egypt_V360_2019	G1-A
A_chicken_Egypt_v2092_2020	G1-A
A_chicken_Egypt_v2091_2020	G1-A
A_chicken_Egypt_V4001_2018	G1-A
A_chicken_Egypt_V2480_2017	G1-A
A_chicken_Egypt_V2479_2017	G1-A
A_chicken_Egypt_A15068_2018	G1-A
A_chicken_Egypt_v621_2018	G1-A
A_turkey_Egypt_1623FAOS_2016	G1-A
A_chicken_Egypt_18558V_2018	G1-A
A_chicken_Egypt_V69_2017	G1-A
A_chicken_Egypt_ABD6_2015	G1-A
A_chicken_Egypt_1685SL_2016	G1-A
A_chicken_Israel_450_2016	G1-A
A_chicken_Israel_461_2016	G1-A
A_turkey_Israel_241_2016	G1-A
A_chicken_Israel_214_2016	G1-A
A_chicken_Israel_54_2016	G1-A
A_chicken_Egypt_1774CAD_2017	G1-A
A_chicken_Egypt_V316_2018	G1-A
A_chicken_Egypt_S69_2018	G1-A
A_Chicken_Egypt_AR537_2017	G1-A
A_Chicken_Egypt_AR562_2018	G1-A
A_Chicken_Egypt_AR551_2018	G1-A
A_Chicken_Egypt_AR590_2018	G1-A
A_DUCK_Egypt_161338V_2016	G1-A
A_chicken_Egypt_162049V_2016	G1-A
A_chicken_Egypt_8_2016	G1-A
A_chicken_Egypt_161970V_2016	G1-A
A_chicken_Egypt_15226VD_2015	G1-A
A__Quail__Egypt_1253V_2016	G1-A
A_chicken_Egypt_15255VD_2015	G1-A
A_chicken_Israel_290349_2017	G1-A
A_chicken_Israel_348652_2020	G1-A
A_chicken_Egypt_1625VG_2016	G1-A
A_chicken_Egypt_7_2015	G1-A
A_chicken_Egypt_10_2016	G1-A
A_chicken_Egypt_S12568C_2016	G1-A
A_chicken_Egypt_F23_2016	G1-A
A_chicken_Egypt_F18_2016	G1-A
A_chicken_Egypt_F26_2016	G1-A
A_chicken_Egypt_ME543V_2016	G1-A
A_chicken_Egypt_1534FAOSf_2015	G1-A
A_chicken_Egypt_1572FAO-SL_2015	G1-A
A_chicken_Egypt_F12170A_2016	G1-A
A_chicken_Egypt_16118FAOS_2016	G1-A
A_pigeon_Egypt_S11755_2015	G1-A
A_chicken_Egypt_162041V_2016	G1-A
A_chicken_Egypt_9_2016	G1-A
A_Chicken_Egypt_374V_2016	G1-A
A_chicken_Egypt_16572V_2016	G1-A
A_chicken_Egypt_15820VG_2015	G1-A
A_chicken_Egypt_ABD10_2015	G1-A
A_chicken_Egypt_152979V_2015	G1-A
A_chicken_Egypt_F10528A_2015	G1-A
A_chicken_Egypt_F10534C_2015	G1-A
A_chicken_Egypt_F10993B_2015	G1-A
A_chicken_Egypt_1433RSF_2014	G1-A
A_Chicken_Egypt_53RSF_2014	G1-A
A_chicken_Egypt_F12168B_2016	G1-A
A_chicken_Egypt_F12054D_2016	G1-A
A_chicken_Egypt_N10963_2015	G1-A
A_chicken_Egypt_N10957A_2015	G1-A
A_chicken_Egypt_D10564_2015	G1-A
A_chicken_Egypt_D10566B_2015	G1-A
A_chicken_Egypt_A10588_2015	G1-A
A_chicken_Egypt_1524F_2015	G1-A
A_chicken_Egypt_S10939E_2015	G1-A
A_chicken_Egypt_D10945E_2015	G1-A
A_Egypt_ZU80_2016	G1-A
A_chicken_Egypt_s6_2018	G1-A
A_chicken_Egypt_ABD1_2015	G1-A
A_chicken_Egypt_151FAOFD_2015	G1-A
A_chicken_Egypt_15106VL_2015	G1-A
A_Chicken_Egypt_102VL_2015	G1-A
A_chicken_Egypt_155FAOFL_2015	G1-A
A_chicken_Egypt_142712V_2014	G1-A
A_chicken_Egypt_15860VG_2015	G1-A
