taxa	Group
A_pheasant_South_Korea_N12-030_2012	KOR-A
A_pheasant_Korea_N12-30_2012	KOR-A
A_environment_sample_South_Korea_N13-008_2013	KOR-A
A_korean_native_chicken_South_Korea_N12-014_2012	KOR-A
A_chicken_Korea_N12-14_2012	KOR-A
A_white_peckin_duck_South_Korea_N12-013_2012	KOR-A
A_korean_native_chicken_South_Korea_N12-012_2012	KOR-A
A_korean_native_chicken_South_Korea_N15-001_2015	KOR-A
A_chicken_Korea_N12-08_2012	KOR-A
A_chicken_Korea_N12-05_2012	KOR-A
A_white_peckin_duck_South_Korea_N12-005_2012	KOR-A
A_white_peckin_duck_South_Korea_N12-008_2012	KOR-A
A_chicken_Korea_N11-86_2011	KOR-A
A_chicken_Korea_N11-87_2011	KOR-A
A_mallard_South_Korea_N11-087_2011	KOR-A
A_korean_native_chicken_South_Korea_N13-023_2013	KOR-A
A_white_peckin_duck_South_Korea_N13-020_2013	KOR-A
A_white_peckin_duck_South_Korea_N10-146_2010	KOR-A
A_chicken_Korea_N12-04_2012	KOR-A
A_korean_native_chicken_South_Korea_N12-004_2012	KOR-A
A_mallard_South_Korea_N10-140_2010	KOR-A
A_korean_native_chicken_South_Korea_N11-086_2011	KOR-A
A_chicken_Korea_LBM563_2017	KOR-A
A_chicken_Korea_LBM566_2017	KOR-A
A_chicken_Korea_LBM294_2018	KOR-A
A_chicken_Korea_LBM564_2017	KOR-A
A_korean_native_chicken_South_Korea_N16-005_2016	KOR-A
A_Egypt_ZU73_2016	KOR-A
A_chicken_Korea_HC0410_2009	KOR-A
A_pheasant_South_Korea_N09-159_2009	KOR-A
A_white_peckin_duck_South_Korea_N09-160_2009	KOR-A
A_white_peckin_duck_South_Korea_N09-114_2009	KOR-A
A_chicken_Korea_C31_2009	KOR-A
A_chicken_Korea_C36_2009	KOR-A
A_chicken_Korea_C54_2009	KOR-A
A_chicken_Korea_C51_2009	KOR-A
A_chicken_Korea_SH0913_2009	KOR-A
A_duck_Korea_SH0915_2009	KOR-A
A_chicken_Korea_C41_2009	KOR-A
A_chicken_Korea_C40_2009	KOR-A
A_duck_Korea_KNUDPJ09_2009	KOR-A
A_chicken_Korea_SH0902_2009	KOR-A
A_chicken_Korea_SH0914_2009	KOR-A
A_korean_native_chicken_South_Korea_P09-390_2009	KOR-A
A_duck_Korea_A174_2009	KOR-A
A_chicken_Korea_KNUGJ09_2009	KOR-A
A_chicken_Korea_A146_2009	KOR-A
A_chicken_Korea_A170_2009	KOR-A
A_korean_native_chicken_South_Korea_P09-376_2009	KOR-A
A_korean_native_chicken_South_Korea_P09-378_2009	KOR-A
A_white_peckin_duck_South_Korea_N09-127_2009	KOR-A
A_chicken_Korea_SH0910_2009	KOR-A
A_chicken_Korea_C3_2009	KOR-A
A_korean_native_chicken_South_Korea_P09-261_2009	KOR-A
A_korean_native_chicken_South_Korea_P09-239_2009	KOR-A
A_chicken_Korea_SH0903_2009	KOR-A
A_chicken_Korea_SH0905_2009	KOR-A
A_duck_Korea_SH0904_2009	KOR-A
A_chicken_Korea_C15_2009	KOR-A
A_duck_Korea_KU114_2007	KOR-A
A_chicken_Korea_SH0906_2009	KOR-A
A_duck_Korea_SH0909_2009	KOR-A
A_chicken_Korea_SH0911_2009	KOR-A
A_chicken_Korea_SH0907_2009	KOR-A
A_duck_Korea_SH0908_2009	KOR-A
A_duck_Korea_SH0912_2009	KOR-A
A_chicken_Korea_C47_2009	KOR-A
A_korean_native_chicken_South_Korea_P09-91_2009	KOR-A
A_korean_native_chicken_South_Korea_P09-92_2010	KOR-A
A_korean_native_chicken_South_Korea_P09-127_2009	KOR-A
A_white_peckin_duck_South_Korea_P09-389_2009	KOR-A
A_korean_native_chicken_South_Korea_N08-0585_2008	KOR-A
A_chicken_Korea_C16_2009	KOR-A
A_chicken_Korea_HC09_2009	KOR-A
A_chicken_Korea_C21_2009	KOR-A
A_korean_native_chicken_South_Korea_N09-113_2009	KOR-A
A_duck_Korea_D26_2009	KOR-A
A_korean_native_chicken_South_Korea_P09-234_2009	KOR-A
A_korean_native_chicken_South_Korea_P09-427_2009	KOR-A
A_korean_native_chicken_South_Korea_N08-0438_2008	KOR-A
A_white_peckin_duck_South_Korea_N08-0439_2008	KOR-A
A_chicken_Korea_KU438_2008	KOR-A
A_korean_native_chicken_South_Korea_P09-366_2009	KOR-A
A_korean_native_chicken_South_Korea_P09-370_2009	KOR-A
A_korean_native_chicken_South_Korea_N07-0341_2007	KOR-A
A_chicken_Korea_KU20-398_2007	KOR-A
A_silky_chicken_Korea_KU20-400_2007	KOR-A
A_chicken_Korea_1783_2007	KOR-A
A_silkie_chicken_South_Korea_N07-1194_2007	KOR-A
A_korean_native_chicken_South_Korea_N07-0618_2007	KOR-A
A_chicken_Korea_KU618_2007	KOR-A
A_korean_native_chicken_South_Korea_N07-1627_2007	KOR-A
A_chicken_Korea_KU1627_2007	KOR-A
A_silkie_chicken_South_Korea_N07-0342_2007	KOR-A
A_silky_chicken_Korea_KU16-342_2007	KOR-A
A_broiler_South_Korea_N07-0242_2007	KOR-A
A_silky_chicken_Korea_KU10-194_2007	KOR-A
A_chicken_Korea_801_2006	KOR-A
A_chicken_Korea_801_2007	KOR-A
A_chicken_Korea_97_2007	KOR-A
A_chicken_Korea_711_2006	KOR-A
A_chicken_Korea_845_2006	KOR-A
A_chicken_Korea_121_2007	KOR-A
A_chicken_Korea_408_2007	KOR-A
A_broiler_South_Korea_N07-0371_2007	KOR-A
A_chicken_Korea_S21_2004	KOR-A
A_chicken_Korea_S26_2004	KOR-A
A_chicken_Korea_S24_2004	KOR-A
A_chicken_Korea_S20_2004	KOR-A
A_chicken_Korea_S27_2004	KOR-A
A_duck_Korea_S23_2004	KOR-A
A_chicken_Korea_S22_2004	KOR-A
A_chicken_Korea_S25_2004	KOR-A
A_chicken_Korea_S23_2004	KOR-A
A_chicken_Korea_164_2004	KOR-A
A_pheasant_South_Korea_N09-064_2009	KOR-A
A_white_peckin_duck_South_Korea_N09-062_2009	KOR-A
A_korean_native_chicken_South_Korea_P09-64_2010	KOR-A
A_pheasant_South_Korea_N09-001_2009	KOR-A
A_quail_South_Korea_N09-003_2009	KOR-A
A_silkie_chicken_South_Korea_N08-0190_2008	KOR-A
A_old_layer_South_Korea_N08-0414_2008	KOR-A
A_chicken_Korea_333_2008	KOR-A
A_chicken_Korea_SH0802_2008	KOR-A
